Category,Year,Laureate
Physics,Wilhelm Röntgen,Jacobus Henricus van 't Hoff
Physics,Hendrik Lorentz;Pieter Zeeman,Emil Fischer
Physics,Henri Becquerel;Pierre Curie;Marie Curie,Svante Arrhenius
Physics,Lord Rayleigh,William Ramsay
Physics,Philipp Lenard,Adolf von Baeyer
Physics,J. J. Thomson,Henri Moissan
Physics,Albert A. Michelson,Eduard Buchner
Physics,Gabriel Lippmann,Ernest Rutherford
Physics,Karl Ferdinand Braun;Guglielmo Marconi,Wilhelm Ostwald
Physics,Johannes Diderik van der Waals,Otto Wallach
Physics,Wilhelm Wien,Marie Curie
Physics,Gustaf Dalén,Victor Grignard
Physics,Gustaf Dalén,Paul Sabatier
Physics,Heike Kamerlingh Onnes,Alfred Werner
Physics,Max von Laue,Theodore William Richards
Physics,William Henry Bragg;Lawrence Bragg,Richard Willstätter
Physics,Max Planck,Fritz Haber
Physics,Charles Édouard Guillaume,Walther Nernst
Physics,Albert Einstein,Frederick Soddy
Physics,Niels Bohr,Francis William Aston
Physics,Robert Andrews Millikan,Fritz Pregl
Physics,James Franck;Gustav Ludwig Hertz,Richard Adolf Zsigmondy
Physics,Jean Baptiste Perrin,Theodor Svedberg
Physics,Arthur Compton;Charles Thomson Rees Wilson,Heinrich Otto Wieland
Physics,Owen Willans Richardson,Adolf Windaus
Physics,Louis de Broglie,Arthur Harden
Physics,Louis de Broglie,Hans von Euler-Chelpin
Physics,C. V. Raman,Hans Fischer
Physics,None,Carl Bosch
Physics,None,Friedrich Bergius
Physics,Werner Heisenberg,Irving Langmuir
Physics,None,Harold Urey
Physics,James Chadwick,Frédéric Joliot-Curie
Physics,James Chadwick,Irène Joliot-Curie
Physics,Victor Francis Hess;Carl David Anderson,Peter Debye
Physics,Clinton Davisson;George Paget Thomson,Norman Haworth
Physics,Clinton Davisson;George Paget Thomson,Paul Karrer
Physics,Enrico Fermi,Richard Kuhn
Physics,Enrico Fermi,[b]
Physics,Ernest Lawrence,Adolf Butenandt
Physics,Ernest Lawrence,[b]
Physics,Ernest Lawrence,Leopold Ružička
Physics,Otto Stern,George de Hevesy
Physics,Isidor Isaac Rabi,Otto Hahn
Physics,Wolfgang Pauli,Artturi Ilmari Virtanen
Physics,Percy Williams Bridgman,James B. Sumner
Physics,Percy Williams Bridgman,John Howard Northrop
Physics,Percy Williams Bridgman,Wendell Meredith Stanley
Physics,Edward Victor Appleton,Robert Robinson
Physics,Patrick Blackett,Arne Tiselius
Physics,Hideki Yukawa,William Giauque
Physics,C. F. Powell,Otto Diels
Physics,C. F. Powell,Kurt Alder
Physics,John Cockcroft;Ernest Walton,Edwin McMillan
Physics,John Cockcroft;Ernest Walton,Glenn T. Seaborg
Physics,Felix Bloch;Edward Mills Purcell,Archer Martin
Physics,Felix Bloch;Edward Mills Purcell,Richard Laurence Millington Synge
Physics,Frits Zernike,Hermann Staudinger
Physics,Max Born;Walther Bothe,Linus Pauling
Physics,Willis Lamb;Polykarp Kusch,Vincent du Vigneaud
Physics,John Bardeen;Walter Houser Brattain;William Shockley,Cyril Norman Hinshelwood
Physics,John Bardeen;Walter Houser Brattain;William Shockley,Nikolay Semyonov
Physics,Yang Chen-Ning;Tsung-Dao Lee,The Lord Todd
Physics,Pavel Cherenkov;Ilya Frank;Igor Tamm,Frederick Sanger
Physics,Emilio Segrè;Owen Chamberlain,Jaroslav Heyrovský
Physics,Donald A. Glaser,Willard Libby
Physics,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin
Physics,Lev Landau,Max Perutz
Physics,Lev Landau,John Kendrew
Physics,Eugene Wigner;Maria Goeppert Mayer;J. Hans D. Jensen,Karl Ziegler
Physics,Eugene Wigner;Maria Goeppert Mayer;J. Hans D. Jensen,Giulio Natta
Physics,Charles H. Townes;Nikolay Basov;Alexander Prokhorov,Dorothy Hodgkin
Physics,Shin'ichirō Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward
Physics,Alfred Kastler,Robert S. Mulliken
Physics,Hans Bethe,Manfred Eigen
Physics,Hans Bethe,Ronald George Wreyford Norrish
Physics,Hans Bethe,George Porter
Physics,Luis Walter Alvarez,Lars Onsager
Physics,Murray Gell-Mann,Derek Barton
Physics,Murray Gell-Mann,Odd Hassel
Physics,Hannes Alfvén;Louis Néel,Luis Federico Leloir
Physics,Dennis Gabor,Gerhard Herzberg
Physics,John Bardeen;Leon Cooper;John Robert Schrieffer,Christian B. Anfinsen
Physics,John Bardeen;Leon Cooper;John Robert Schrieffer,Stanford Moore
Physics,John Bardeen;Leon Cooper;John Robert Schrieffer,William Howard Stein
Physics,Leo Esaki;Ivar Giaever;Brian Josephson,Ernst Otto Fischer
Physics,Leo Esaki;Ivar Giaever;Brian Josephson,Geoffrey Wilkinson
Physics,Martin Ryle;Antony Hewish,Paul Flory
Physics,Aage Bohr;Ben Roy Mottelson;James Rainwater,John Cornforth
Physics,Aage Bohr;Ben Roy Mottelson;James Rainwater,Vladimir Prelog
Physics,Burton Richter;Samuel C. C. Ting,William Lipscomb
Physics,Philip W. Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Ilya Prigogine
Physics,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Peter D. Mitchell
Physics,Sheldon Glashow;Abdus Salam;Steven Weinberg,Herbert C. Brown
Physics,Sheldon Glashow;Abdus Salam;Steven Weinberg,Georg Wittig
Physics,James Cronin;Val Logsdon Fitch,Paul Berg
Physics,James Cronin;Val Logsdon Fitch,Walter Gilbert
Physics,James Cronin;Val Logsdon Fitch,Frederick Sanger
Physics,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Kenichi Fukui
Physics,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Roald Hoffmann
Physics,Kenneth G. Wilson,Aaron Klug
Physics,Subrahmanyan Chandrasekhar;William Alfred Fowler,Henry Taube
Physics,Carlo Rubbia;Simon van der Meer,Robert Bruce Merrifield
Physics,Klaus von Klitzing,Herbert A. Hauptman
Physics,Klaus von Klitzing,Jerome Karle
Physics,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Dudley R. Herschbach
Physics,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Yuan T. Lee
Physics,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,John Polanyi
Physics,Georg Bednorz;K. Alex Müller,Donald J. Cram
Physics,Georg Bednorz;K. Alex Müller,Jean-Marie Lehn
Physics,Georg Bednorz;K. Alex Müller,Charles J. Pedersen
Physics,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Johann Deisenhofer
